date,strategy_cum_return,benchmark_cum_return
2026-04-09,-0.023928812479575234,0.06022471625659542
2026-04-10,-0.015699420795427743,0.06280058556425616
2026-04-13,-0.003776906438149874,0.05996616727598303
2026-04-14,-0.009646007730738093,0.06054036347541847
2026-04-15,-0.03274351372100337,0.04699467190569839
2026-04-16,-0.02063431217708067,0.0510936253596328
2026-04-17,-0.01993672103446753,0.05757497367693598
2026-04-20,-0.02139698826425851,0.054942550530172385
2026-04-21,-0.021923621045404573,0.0577038681445341
2026-04-22,-0.020728054931760775,0.05249957944698269
2026-04-23,-0.008338581009852408,0.061126630671686
2026-04-24,0.0017220376629010214,0.06173384878752386
2026-04-27,-0.0011781116867310981,0.06441995073380302
2026-04-28,-0.00023371524916515618,0.062361614892733064
2026-04-29,0.0074325515736806125,0.06491955277438621
2026-04-30,-0.00343712598688517,0.06450770077337609
2026-05-01,-0.021745568667509207,0.05604357659056247
2026-05-04,-0.03198025359684764,0.05362325067688256
2026-05-05,-0.04679653626827174,0.04779692702163274
2026-05-06,-0.053397394495341644,0.035749094616999155
2026-05-07,-0.0570139753097586,0.036214048645703434
2026-05-08,-0.05909359037345996,0.0437189783368066
2026-05-11,-0.05358651377025703,0.050334617637322276
2026-05-12,-0.06354768072026784,0.04065888919980387
2026-05-13,-0.07608058047335986,0.03137089833503848
2026-05-14,-0.07751037596634414,0.03729522085618964
2026-05-15,-0.0824510126839948,0.030224278940139016
2026-05-18,-0.07881541163180117,0.020124511568909043
2026-05-19,-0.07148280118718864,0.017395901267877045
2026-05-20,-0.08760762631400265,0.008707540895171784
2026-05-21,-0.08834339424929882,0.005729711421435191
2026-05-22,-0.07599041788621974,0.012231535979436048
2026-05-25,-0.07379653774623074,0.015470784981156172
2026-05-26,-0.08910770618376673,0.006604765202573137
2026-05-27,-0.09655680600001337,0.005058217240355045
2026-05-28,-0.09680813368357222,0.0019492456125593804
2026-05-29,-0.09585871630255827,0.00996143191086607
2026-06-01,-0.07218025166411657,0.01280496510714002
2026-06-02,-0.09287587126449204,-0.0033457982614443216
2026-06-03,-0.08998443905246656,0.004050321604638363
2026-06-04,-0.0872986772792621,0.015237750993896348
2026-06-05,-0.07301177688469385,0.03187328794365718
2026-06-08,-0.08050423696637699,0.03671888157763581
2026-06-09,-0.09137577124349727,0.026732178236948956
2026-06-10,-0.0838736873763859,0.023109620655056062
2026-06-11,-0.08098240221815423,0.01949255104330705
2026-06-12,-0.06809593915694345,0.02459916640625548
2026-06-15,-0.08466339395232625,0.014139656310834248
2026-06-16,-0.0883730016455837,0.009951311161962018
2026-06-17,-0.09180941961201239,0.00911941046640119
2026-06-18,-0.09514963906165741,0.0087185723068115
2026-06-19,-0.09958034277751782,0.01412681687564965
2026-06-22,-0.09177757255491581,0.023068514438662868
2026-06-23,-0.11396343565050415,0.016789800173283354
2026-06-24,-0.1191377551114069,0.01233276921941684
2026-06-25,-0.11412281486582843,0.012495917894837172
2026-06-26,-0.10661691347988511,0.003698197200685316
2026-06-29,-0.10967810833595415,-0.0004341000539598294
2026-06-30,-0.12318026938658999,-0.0015973982838214384
2026-07-01,-0.11813834039051241,-0.0030723712042600715
2026-07-02,-0.12710802560865742,-0.009410047718618753
2026-07-03,-0.12436652123663128,-0.010138507351623915
2026-07-06,-0.12302469197610655,0.005908008450097535
2026-07-07,-0.11507161649098374,0.0033744426088941903
2026-07-08,-0.12815051466123206,0.001441835949594461
2026-07-09,-0.12538034040686885,-0.002750595333543604
2026-07-10,-0.12422316275650014,-0.0013152992785347983
2026-07-13,-0.10713994823518325,0.003323859137535079
2026-07-14,-0.10511599029066643,0.0030827428423227943
2026-07-15,-0.09963189145789486,-0.0008383967593491581
2026-07-16,-0.09955371006488944,-0.009734940313187446
2026-07-17,-0.09761878637093457,-0.011954384642309468
2026-07-20,-0.10323826988455287,-0.012050602497317153
2026-07-21,-0.1120545787691608,-0.011599061638865926
2026-07-22,-0.11336688251447968,-0.012899938466348071
2026-07-23,-0.10788188072932459,-0.006293405567150634
2026-07-24,-0.11030392678194667,-0.0014560957474821778
